node_id,text
151,That it should come to this!.
152,The play 's the thing wherein I'll catch the conscience of the king.
153,Off with his head!
154,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
155,Wisely and slow; they stumble that run fast.
156,"The fool doth think he is wise, but the wise man knows himself to be a fool."
157,"The fool doth think he is wise, but the wise man knows himself to be a fool."
158,Not stepping o'er the bounds of modesty.
159,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
160,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
161,Tempt not a desperate man.
162,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
163,How bitter a thing it is to look into happiness through another man's eyes!
164,"So wise so young, they say, do never live long."
165,How bitter a thing it is to look into happiness through another man's eyes!
166,A horse! a horse! my kingdom for a horse!.
167,How bitter a thing it is to look into happiness through another man's eyes!
168,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
169,"The world is grown so bad, that wrens make prey where eagles dare not perch."
170,Can one desire too much of a good thing?.
171,"The fool doth think he is wise, but the wise man knows himself to be a fool."
172,What's in a name? That which we call a rose by any other name would smell as sweet.
173,Rich gifts wax poor when givers prove unkind.
174,For you and I are past our dancing days.
175,Now is the winter of our discontent.
176,Brevity is the soul of wit.
177,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
178,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
179,Tempt not a desperate man.
180,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
181,Rich gifts wax poor when givers prove unkind.
182,Off with his head!
183,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
184,This above all: to thine own self be true.
185,"When sorrows come, they come not single spies, but in battalions."
186,"The world is grown so bad, that wrens make prey where eagles dare not perch."
187,True is it that we have seen better days.
188,"There is nothing either good or bad, but thinking makes it so."
189,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
190,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
191,In my mind's eye.
192,Can one desire too much of a good thing?.
193,That it should come to this!.
194,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
195,For ever and a day.
196,Not stepping o'er the bounds of modesty.
197,Brevity is the soul of wit.
198,I like this place and willingly could waste my time in it.
199,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
200,"So wise so young, they say, do never live long."
201,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
202,True is it that we have seen better days.
203,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
204,"So wise so young, they say, do never live long."
205,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
206,Tempt not a desperate man.
207,"The lady doth protest too much, methinks."
208,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
209,I like this place and willingly could waste my time in it.
210,The king's name is a tower of strength.
211,"The world is grown so bad, that wrens make prey where eagles dare not perch."
212,"So wise so young, they say, do never live long."
213,What's in a name? That which we call a rose by any other name would smell as sweet.
214,Brevity is the soul of wit.
215,For you and I are past our dancing days.
216,"When sorrows come, they come not single spies, but in battalions."
217,This above all: to thine own self be true.
218,"And it must follow, as the night the day, thou canst not then be false to any man."
219,The king's name is a tower of strength.
220,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
221,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
222,For ever and a day.
223,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
224,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
225,Not stepping o'er the bounds of modesty.
226,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
227,For you and I are past our dancing days.
228,"So wise so young, they say, do never live long."
229,For ever and a day.
230,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
231,"Though this be madness, yet there is method in 't."
232,"Though this be madness, yet there is method in 't."
233,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
234,Rich gifts wax poor when givers prove unkind.
235,"A little more than kin, and less than kind."
236,"There is nothing either good or bad, but thinking makes it so."
237,O! she doth teach the torches to burn bright.
238,The king's name is a tower of strength.
239,The king's name is a tower of strength.
240,True is it that we have seen better days.
241,"So wise so young, they say, do never live long."
242,This above all: to thine own self be true.
243,O! she doth teach the torches to burn bright.
244,I like this place and willingly could waste my time in it.
245,"O Romeo, Romeo! wherefore art thou Romeo?."
246,The play 's the thing wherein I'll catch the conscience of the king.
247,"The fool doth think he is wise, but the wise man knows himself to be a fool."
248,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
